,DIAM_CIRCLE_IMAGEunique_values,counts
1192,14.54,17
1193,13.57,16
1194,15.25,16
1195,11.88,16
1196,13.09,16
1197,16.36,16
1198,12.6,16
1199,10.24,16
1200,13.78,16
1201,10.74,16
1202,11.99,16
1203,9.98,16
1204,11.42,16
1205,17.61,16
1206,12.06,16
1207,12.98,16
1208,17.85,16
1209,13.58,16
1210,12.93,16
1211,12.61,16
1212,11.29,16
1213,14.99,16
1214,12.62,16
1215,12.01,16
1216,13.49,16
1217,15.13,16
1218,12.12,16
1219,16.13,16
1220,16.2,16
1221,11.98,16
1222,12.24,16
1223,13.94,16
1224,11.39,16
1225,14.19,16
1226,14.55,16
1227,12.33,16
1228,13.89,16
1229,16.45,16
1230,13.62,16
1231,10.48,16
1232,15.85,15
1233,15.97,15
1234,13.14,15
1235,10.95,15
1236,12.23,15
1237,12.85,15
1238,11.54,15
1239,17.74,15
1240,12.72,15
1241,19.85,15
1242,12.31,15
1243,15.44,15
1244,14.07,15
1245,13.53,15
1246,12.17,15
1247,12.82,15
1248,15.08,15
1249,11.55,15
1250,16.9,15
1251,10.66,15
1252,12.74,15
1253,16.28,15
1254,10.31,15
1255,11.25,15
1256,11.36,15
1257,14.43,15
1258,17.96,15
1259,13.71,15
1260,18.15,15
1261,13.85,15
1262,14.72,15
1263,11.72,15
1264,15.92,15
1265,16.03,15
1266,13.63,15
1267,11.5,15
1268,22.26,15
1269,16.56,15
1270,9.89,15
1271,20.14,15
1272,12.91,15
1273,11.35,15
1274,13.77,14
1275,13.34,14
1276,16.58,14
1277,13.52,14
1278,13.3,14
1279,13.35,14
1280,19.97,14
1281,19.03,14
1282,14.64,14
1283,14.02,14
1284,12.56,14
1285,15.36,14
1286,16.77,14
1287,13.19,14
1288,12.54,14
1289,14.17,14
1290,13.97,14
1291,16.18,14
1292,15.16,14
1293,15.09,14
1294,15.27,14
1295,17.83,14
1296,15.38,14
1297,17.49,14
1298,12.59,14
1299,14.96,14
1300,15.75,14
1301,15.19,14
1302,12.07,14
1303,16.46,14
1304,21.09,14
1305,11.95,14
1306,15.07,14
1307,15.91,14
1308,11.38,14
1309,14.13,14
1310,13.54,14
1311,15.01,14
1312,16.39,14
1313,14.49,14
1314,16.1,14
1315,14.18,14
1316,18.72,14
1317,15.37,14
1318,13.67,14
1319,20.53,14
1320,13.17,14
1321,10.96,14
1322,13.1,14
1323,14.87,14
1324,15.55,14
1325,11.62,14
1326,14.65,14
1327,14.46,14
1328,16.3,14
1329,17.56,14
1330,16.6,14
1331,12.43,14
1332,15.86,14
1333,16.8,14
1334,13.41,14
1335,14.03,14
1336,15.18,14
1337,16.12,14
1338,12.73,14
1339,16.08,14
1340,14.86,14
1341,13.56,14
1342,13.6,14
1343,17.19,14
1344,15.17,14
1345,18.22,14
1346,12.44,14
1347,14.83,14
1348,18.69,14
1349,14.39,14
1350,16.64,14
1351,15.72,14
1352,12.58,14
1353,16.41,14
1354,13.29,14
1355,13.46,14
1356,19.79,14
1357,16.62,14
1358,12.67,13
1359,19.65,13
1360,15.88,13
1361,14.35,13
1362,13.37,13
1363,16.68,13
1364,18.97,13
1365,14.05,13
1366,16.37,13
1367,21.37,13
1368,13.8,13
1369,13.82,13
1370,16.48,13
1371,11.85,13
1372,16.78,13
1373,12.63,13
1374,14.74,13
1375,13.47,13
1376,13.48,13
1377,18.43,13
1378,11.43,13
1379,16.72,13
1380,13.98,13
1381,17.68,13
1382,10.53,13
1383,16.25,13
1384,17.14,13
1385,14.67,13
1386,16.54,13
1387,13.72,13
1388,12.86,13
1389,12.16,13
1390,12.88,13
1391,10.91,13
1392,11.59,13
1393,14.62,13
1394,15.53,13
1395,24.25,13
1396,19.26,13
1397,12.83,13
1398,14.36,13
1399,15.02,13
1400,13.9,13
1401,14.79,13
1402,14.56,13
1403,17.3,13
1404,17.12,13
1405,15.89,13
1406,18.36,13
1407,13.39,13
1408,15.1,13
1409,10.4,13
1410,15.23,13
1411,13.86,13
1412,13.28,13
1413,15.54,13
1414,12.42,12
1415,12.3,12
1416,15.71,12
1417,15.77,12
1418,15.31,12
1419,15.11,12
1420,18.06,12
1421,14.71,12
1422,14.27,12
1423,15.39,12
1424,19.33,12
1425,15.5,12
1426,14.5,12
1427,12.53,12
1428,14.9,12
1429,17.18,12
1430,17.08,12
1431,14.26,12
1432,11.89,12
1433,16.88,12
1434,15.9,12
1435,18.32,12
1436,13.88,12
1437,15.03,12
1438,18.08,12
1439,14.92,12
1440,16.24,12
1441,13.81,12
1442,15.7,12
1443,14.32,12
1444,14.98,12
1445,18.14,12
1446,16.21,12
1447,13.2,12
1448,14.52,12
1449,13.84,12
1450,13.31,12
1451,14.76,12
1452,20.97,12
1453,15.45,12
1454,13.26,12
1455,20.17,12
1456,21.91,12
1457,23.89,12
1458,15.78,12
1459,15.32,12
1460,17.39,12
1461,18.31,12
1462,16.83,12
1463,18.0,12
1464,24.45,12
1465,16.01,12
1466,15.81,12
1467,14.15,12
1468,16.4,12
1469,16.06,12
1470,11.17,12
1471,13.04,12
1472,11.03,12
1473,17.76,12
1474,15.14,12
1475,16.66,12
1476,13.06,12
1477,18.1,12
1478,15.67,12
1479,20.67,12
1480,17.27,12
1481,17.03,12
1482,18.45,12
1483,16.17,11
1484,18.85,11
1485,26.49,11
1486,17.7,11
1487,17.34,11
1488,13.61,11
1489,19.62,11
1490,15.46,11
1491,20.86,11
1492,18.8,11
1493,14.77,11
1494,15.6,11
1495,13.55,11
1496,19.32,11
1497,17.09,11
1498,22.03,11
1499,19.71,11
1500,17.71,11
1501,20.23,11
1502,12.99,11
1503,13.65,11
1504,18.46,11
1505,20.03,11
1506,19.98,11
1507,21.66,11
1508,14.51,11
1509,16.44,11
1510,16.16,11
1511,15.95,11
1512,21.58,11
1513,15.57,11
1514,13.43,11
1515,14.45,11
1516,16.27,11
1517,17.28,11
1518,17.92,11
1519,18.59,11
1520,23.96,11
1521,12.65,11
1522,14.21,11
1523,15.68,11
1524,18.79,11
1525,15.28,11
1526,14.6,11
1527,14.48,11
1528,16.09,11
1529,11.76,11
1530,17.57,11
1531,21.73,11
